pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_ori_x,delta_ori_y,delta_ori_z,f_x_out,f_y_out,f_z_out,torque_x_out,torque_y_out,torque_z_out
1.7255504,-1.8651601,2.2258856,3.3284733,-2.2240586,2.8446562,6.857225,-1.5343032,0.47170717,-3.638641,0.76896316,3.0683722,-5.940318,1.8816247,-0.47170717,3.986024,0.75470424,2.9522572,2.1032434,2.2488186,-2.2555394,2.2524805,2.252621,2.2486477
1.7220919,-1.8718647,2.2334583,3.301118,-2.2327795,2.8295848,6.4776826,-1.5636979,0.13125993,-3.6316388,0.72543335,3.06541,-5.7369742,1.5793713,-0.13125993,3.999089,0.5862775,3.0668938,2.0930398,2.235512,-2.2503717,2.2388706,2.2391367,2.235164
1.7186264,-1.8769282,2.2331314,3.273689,-2.2387679,2.8140907,6.1982684,-1.5552557,0.052238125,-3.6179638,0.58695483,3.0528333,-5.478786,1.5643402,-0.052238125,3.9807413,0.48052442,3.053561,2.0796592,2.2186332,-2.24227,2.2219315,2.2221868,2.2183104
1.7151518,-1.8819101,2.2309706,3.2463636,-2.2430406,2.7986457,5.8776093,-1.5314047,-0.2861613,-3.595685,0.5143905,3.0367143,-5.325416,1.5376042,0.2861613,3.9682403,0.2896841,3.046124,2.0642385,2.1976843,-2.2251322,2.2006543,2.2010307,2.197207
1.711672,-1.8867468,2.2209578,3.2191088,-2.244217,2.7832282,5.6512547,-1.492386,-0.36954457,-3.5773017,0.35134488,3.026159,-5.1159143,1.4914985,0.36954457,3.9394922,0.1614721,3.0346985,2.0450802,2.1726217,-2.2057915,2.175492,2.1758611,2.17218
1.7081847,-1.8913332,2.20901,3.1920164,-2.2433133,2.7678528,5.382086,-1.4377427,-0.6940196,-3.5502007,0.25395963,3.0116696,-5.0014124,1.4336038,0.6940196,3.9157045,-0.043582086,3.0283604,2.0201333,2.1399705,-2.18186,2.1424994,2.1429794,2.1394014
1.7046934,-1.8956053,2.189533,3.1650581,-2.239083,2.7525008,5.199064,-1.3687749,-0.7788796,-3.526564,0.07381198,3.0021818,-4.832404,1.35763,0.7788796,3.876613,-0.18836123,3.0181336,1.9956933,2.1074836,-2.15186,2.1098769,2.1103525,2.106958
1.7011963,-1.899465,2.1680868,3.1383207,-2.232504,2.7371864,4.974223,-1.2852337,-1.0780278,-3.4947083,-0.043472975,2.9889448,-4.7461247,1.2704597,1.0780278,3.8414764,-0.3991678,3.012305,1.9645665,2.0668027,-2.1192324,2.0688546,2.069426,2.0661812
1.6976962,-1.9028512,2.1396992,3.1117818,-2.2225046,2.7218935,4.825249,-1.1884825,-1.1614606,-3.4657915,-0.23297212,2.980125,-4.609752,1.1671151,1.1614606,3.7925076,-0.5542722,3.0029235,1.9328643,2.025257,-2.0821865,2.0271428,2.0277116,2.0246847
1.6941913,-1.9056765,2.1093757,3.0855193,-2.209989,2.7066352,4.637888,-1.0788099,-1.4247607,-3.429483,-0.3647216,2.9679167,-4.541715,1.0535171,1.4247607,3.7463408,-0.76230067,2.997128,1.8964763,1.9778384,-2.041932,1.9793956,1.980041,1.977204
1.6906841,-1.9078848,2.0729425,3.0595174,-2.1940985,2.6913984,4.5142636,-0.9577008,-1.5039103,-3.3955228,-0.55562127,2.9593928,-4.4304986,0.9264189,1.5039103,3.688368,-0.9212326,2.9882455,1.8606659,1.9307669,-1.9968528,1.9321344,1.9327784,1.9301842
1.6871729,-1.9094032,2.0346727,3.033843,-2.1756294,2.6761942,4.3578024,-0.8260256,-1.7220875,-3.3553054,-0.69601566,2.94796,-4.3714447,0.79017276,1.7220875,3.6318958,-1.1181593,2.9820254,1.8205488,1.8785195,-1.949927,1.879584,1.8802819,1.8779103
1.6836597,-1.9101819,1.9913403,3.0084875,-2.1539655,2.661013,4.251365,-0.684731,-1.7941995,-3.3167145,-0.8804528,2.939368,-4.2783,0.64354014,1.7941995,3.5660508,-1.274389,2.9732993,1.7795337,1.8252108,-1.9005449,1.8260694,1.8267667,1.8246535
1.6801432,-1.9101644,1.9463346,2.9835038,-2.129767,2.6458638,4.119564,-0.5355088,-1.9595184,-3.2732134,-1.023504,2.9284582,-4.2199616,0.48818856,1.9595184,3.5000575,-1.4523932,2.9662633,1.7394824,1.7722402,-1.8461064,1.7728312,1.7735589,1.771691
1.6766248,-1.9093034,1.8974928,2.9588926,-2.1026804,2.6307406,4.0230236,-0.37831736,-2.0220115,-3.2304912,-1.1939958,2.9194722,-4.13842,0.32587385,2.0220115,3.4274368,-1.5995971,2.9573984,1.6951299,1.7148083,-1.7936915,1.7151833,1.7159128,1.7143073
1.6731033,-1.9075612,1.8472009,2.9346917,-2.0732057,2.6156502,3.9101048,-0.21615097,-2.1285372,-3.1843886,-1.3337742,2.908846,-4.07362,0.15309073,2.1285372,3.3522844,-1.7516458,2.9493003,1.652423,1.6586301,-1.7377712,1.6587803,1.659518,1.6581695
1.6695797,-1.9048809,1.7944372,2.9109151,-2.0412643,2.6005895,3.8169904,-0.04640164,-2.179082,-3.1379693,-1.4834946,2.8992298,-3.9978397,-0.025502507,2.179082,3.2727149,-1.8839304,2.9402232,1.61083,1.6023448,-1.6806693,1.6020353,1.6029154,1.6017371
1.6660535,-1.9012309,1.7405006,2.8875878,-2.0071769,2.5855625,3.717681,0.1265434,-2.2228699,-3.089621,-1.6143396,2.8887725,-3.9206574,-0.21543069,2.2228699,3.1884568,-2.0039933,2.9309466,1.567303,1.5473317,-1.622615,1.5471009,1.5478195,1.5469891
