x_res,y_res,f_res
0.0,0.0,50.0
-4.2312322784636074e-05,-4.8942109597504425e-05,50.0
-8.462464553289688e-05,-9.788421891111737e-05,50.0
-0.00012693696824552468,-0.00014682632794663246,50.0
-0.0001692492909232619,-0.00019576843670984344,50.0
-0.00021156161356685087,-0.000244710545206544,50.0
-0.0002538739361770339,-0.0002936526534425279,50.0
-0.00029618625875455347,-0.0003425947614235887,50.0
-0.0003384985813001518,-0.0003915368691555203,50.0
-0.00038081090381457123,-0.0004404789766441162,50.0
-0.0004231232262985543,-0.0004894210838951704,50.0
-0.0004654355487528431,-0.0005383631909144762,50.0
-0.0005077478711781803,-0.0005873052977078278,50.0
-0.000550060193575308,-0.0006362474042810184,50.0
-0.0005923725159449687,-0.000685189510639842,50.0
-0.0006346848382879044,-0.0007341316167900922,50.0
-0.0006769971606048581,-0.0007830737227375628,50.0
-0.0007193094828965718,-0.0008320158284880477,50.0
-0.0007616218051637875,-0.0008809579340473399,50.0
-0.0008039341274072479,-0.0009299000394212335,50.0
-0.0008462464496276957,-0.0009788421446155226,50.0
-0.0008885587718258728,-0.0010277842496360008,50.0
-0.0009308710940025214,-0.0010767263544884608,50.0
-0.0009731834161583843,-0.0011256684591786977,50.0
-0.0010154957382942035,-0.0011746105637125044,50.0
-0.0010578080604107217,-0.0012235526680956748,50.0
-0.0011001203825086814,-0.0012724947723340028,50.0
-0.001142432704588824,-0.0013214368764332817,50.0
-0.0011847450266518926,-0.001370378980399305,50.0
-0.0012270573486986298,-0.0014193210842378674,50.0
-0.001269369670729777,-0.0014682631879547612,50.0
-0.0013116819927460777,-0.0015172052915557817,50.0
-0.001353994314748273,-0.0015661473950467214,50.0
-0.0013963066367371068,-0.0016150894984333745,50.0
-0.0014386189587133203,-0.0016640316017215349,50.0
-0.0014809312806776558,-0.0017129737049169957,50.0
-0.0015232436026308563,-0.0017619158080255512,50.0
-0.0015655559245736637,-0.0018108579110529947,50.0
-0.0016078682465068207,-0.00185980001400512,50.0
-0.0016501805684310691,-0.0019087421168877208,50.0
-0.0016924928903471522,-0.001957684219706591,50.0
-0.0017348052122558115,-0.002006626322467524,50.0
-0.0017771175341577893,-0.002055568425176314,50.0
-0.0018194298560538287,-0.002104510527838754,50.0
-0.0018617421779446714,-0.002153452630460638,50.0
-0.0019040544998310599,-0.00220239473304776,50.0
-0.0019463668217137367,-0.0022513368356059135,50.0
-0.0019886791435934446,-0.0023002789381408924,50.0
-0.0020309914654709246,-0.002349221040658489,50.0
-0.0020733037873469206,-0.0023981631431645,50.0
-0.0021156161092221737,-0.0024471052456647158,50.0
-0.002157928431097427,-0.002496047348164932,50.0
-0.0022002407529734228,-0.0025449894506709425,50.0
-0.0022425530748509032,-0.00259393155318854,50.0
-0.0022848653967306107,-0.002642873655723519,50.0
-0.0023271777186132875,-0.0026918157582816724,50.0
-0.0023694900404996762,-0.002740757860868794,50.0
-0.0024118023623905193,-0.0027896999634906784,50.0
-0.0024541146842865587,-0.002838642066153119,50.0
-0.0024964270061885365,-0.0028875841688619083,50.0
-0.002538739328097195,-0.0029365262716228406,50.0
-0.0025810516500132776,-0.0029854683744417105,50.0
-0.002623363971937527,-0.0030344104773243124,50.0
-0.0026656762938706835,-0.003083352580276437,50.0
-0.002707988615813491,-0.0031322946833038812,50.0
-0.002750300937766692,-0.0031812367864124365,50.0
-0.0027926132597310277,-0.0032301788896078975,50.0
-0.002834925581707241,-0.0032791209928960574,50.0
-0.002877237903696074,-0.0033280630962827106,50.0
-0.00291955022569827,-0.0033770051997736505,50.0
-0.0029618625477145703,-0.003425947303374671,50.0
-0.0030041748697457182,-0.003474889407091565,50.0
-0.003046487191792455,-0.0035238315109301275,50.0
-0.003088799513855524,-0.0035727736148961505,50.0
-0.003131111835935666,-0.0036217157189954293,50.0
-0.003173424158033626,-0.003670657823233757,50.0
-0.003215736480150144,-0.0037195999276169274,50.0
-0.0032580488022859637,-0.003768542032150735,50.0
-0.0033003611244418266,-0.003817484136840971,50.0
-0.0033426734466184753,-0.0038664262416934314,50.0
-0.003384985768816652,-0.003915368346713909,50.0
-0.0034272980910371,-0.003964310451908199,50.0
-0.00346961041328056,-0.004013252557282092,50.0
-0.003511922735547776,-0.004062194662841384,50.0
-0.0035542350578394895,-0.0041111367685918694,50.0
-0.003596547380156443,-0.00416007887453934,50.0
-0.0036388597024993798,-0.00420902098068959,50.0
-0.0036811720248690403,-0.004257963087048414,50.0
-0.003723484347266167,-0.004306905193621605,50.0
-0.0037657966696915037,-0.0043558473004149546,50.0
-0.0038081089921457923,-0.004404789407434261,50.0
-0.0038504213146297764,-0.004453731514685316,50.0
-0.0038927336371441953,-0.004502673622173912,50.0
-0.003935045959689794,-0.0045516157299058425,50.0
-0.003977358282267314,-0.004600557837886904,50.0
-0.0040196706048774965,-0.004649499946122888,50.0
-0.0040619829275210855,-0.004698442054619588,50.0
-0.004104295250198823,-0.0047473841633828,50.0
-0.00414660757291145,-0.004796326272418314,50.0
-0.004188919895659711,-0.004845268381731927,50.0
-0.004231232218444347,-0.0048942104913294315,50.0
-0.004273544541265359,-0.00494315260121269,50.0
-0.0043158568641197765,-0.004992094711367841,50.0
-0.0043581691870038875,-0.005041036821777092,50.0
-0.004400481509913981,-0.005089978932422651,50.0
-0.004442793832846345,-0.0051389210432867235,50.0
-0.004485106155797268,-0.005187863154351519,50.0
-0.004527418478763039,-0.005236805265599243,50.0
-0.0045697308017399445,-0.005285747377012103,50.0
-0.004612043124724272,-0.005334689488572309,50.0
-0.004654355447712315,-0.0053836316002620664,50.0
-0.004696667770700356,-0.00543257371206358,50.0
-0.004738980093684684,-0.005481515823959062,50.0
-0.00478129241666159,-0.005530457935930716,50.0
-0.004823604739627361,-0.005579400047960751,50.0
-0.004865917062578283,-0.005628342160031373,50.0
-0.004908229385510649,-0.0056772842721247935,50.0
-0.004950541708420742,-0.005726226384223215,50.0
-0.004992854031304853,-0.005775168496308846,50.0
-0.005035166354159272,-0.005824110608363897,50.0
-0.005077478676980282,-0.005873052720370569,50.0
-0.005119790999764175,-0.005921994832311075,50.0
-0.005162103322507239,-0.005970936944167621,50.0
-0.0052044156452057625,-0.006019879055922415,50.0
-0.005246727967856034,-0.006068821167557662,50.0
-0.0052890402904543395,-0.0061177632790555695,50.0
-0.005331352612996967,-0.006166705390398346,50.0
-0.005373664935480208,-0.0062156475015682005,50.0
-0.005415977257900348,-0.006264589612547339,50.0
-0.0054582895802536766,-0.006313531723317965,50.0
-0.005500601902536482,-0.006362473833862293,50.0
-0.005542914224745053,-0.006411415944162526,50.0
-0.005585226546875675,-0.006460358054200871,50.0
-0.00562753886892464,-0.006509300163959537,50.0
-0.005669851190888233,-0.00655824227342073,50.0
-0.005712163512762745,-0.006607184382566659,50.0
-0.0057544758345444615,-0.00665612649137953,50.0
-0.005796788156229671,-0.0067050685998415495,50.0
-0.0058391004778146635,-0.006754010707934927,50.0
-0.005881412799295729,-0.00680295281564187,50.0
-0.005923725120669151,-0.006851894922944584,50.0
-0.0059660374419312195,-0.006900837029825276,50.0
-0.006008349763078226,-0.006949779136266159,50.0
-0.006050662084106453,-0.00699872124224943,50.0
-0.006092974405012193,-0.007047663347757305,50.0
-0.0061352867257917325,-0.007096605452771987,50.0
-0.006177599046441361,-0.007145547557275688,50.0
-0.0062199113669573645,-0.007194489661250609,50.0
-0.006262223687336034,-0.007243431764678962,50.0
-0.0063045360075736565,-0.007292373867542953,50.0
-0.00634684832766652,-0.00734131596982479,50.0
-0.0063891606476138806,-0.007390258071514952,50.0
-0.006431472967426878,-0.007439200172637017,50.0
-0.006473785287119611,-0.00748814227322283,50.0
-0.006516097606706189,-0.007537084373304248,50.0
-0.006558409926200717,-0.007586026472913114,50.0
-0.006600722245617295,-0.007634968572081279,50.0
-0.006643034564970033,-0.0076839106708405935,50.0
-0.006685346884273032,-0.007732852769222903,50.0
-0.006727659203540398,-0.007781794867260061,50.0
-0.006769971522786235,-0.007830736964983914,50.0
-0.006812283842024649,-0.007879679062426315,50.0
-0.006854596161269747,-0.007928621159619112,50.0
-0.006896908480535629,-0.007977563256594149,50.0
-0.0069392207998364005,-0.008026505353383282,50.0
-0.006981533119186168,-0.008075447450018357,50.0
-0.0070238454385990355,-0.008124389546531224,50.0
-0.007066157758089108,-0.008173331642953731,50.0
-0.007108470077670489,-0.008222273739317729,50.0
-0.0071507823973572865,-0.00827121583565507,50.0
-0.0071930947171636,-0.008320157931997595,50.0
-0.007235407037103539,-0.008369100028377163,50.0
-0.007277719357191205,-0.008418042124825616,50.0
-0.0073200316774407045,-0.008466984221374808,50.0
-0.0073623439978661425,-0.008515926318056586,50.0
-0.007404656318481623,-0.008564868414902798,50.0
-0.007446968639301247,-0.008613810511945295,50.0
-0.007489280960339127,-0.008662752609215927,50.0
-0.007531593281609361,-0.00871169470674654,50.0
-0.007573905603126059,-0.00876063680456899,50.0
-0.007616217924903322,-0.008809578902715118,50.0
-0.007658530246955257,-0.008858521001216783,50.0
-0.007700842569295964,-0.008907463100105824,50.0
-0.007743154891939552,-0.008956405199414097,50.0
-0.007785467214900127,-0.009005347299173447,50.0
-0.00782777953819179,-0.009054289399415726,50.0
-0.00787009186182865,-0.009103231500172787,50.0
-0.007912404185824805,-0.00915217360147647,50.0
-0.007954716510194366,-0.009201115703358631,50.0
-0.007997028834951434,-0.00925005780585112,50.0
-0.008039341160110115,-0.009298999908985781,50.0
-0.008081653485684518,-0.009347942012794468,50.0
-0.008123965811688737,-0.009396884117309025,50.0
-0.00816627813813689,-0.009445826222561309,50.0
-0.00820859046504307,-0.009494768328583163,50.0
-0.008250902792421388,-0.009543710435406439,50.0
-0.008293215120285947,-0.009592652543062987,50.0
-0.008335527448650855,-0.009641594651584654,50.0
-0.00837783977753021,-0.00969053676100329,50.0
-0.008420152106938123,-0.009739478871350744,50.0
-0.008462464436888695,-0.009788420982658865,50.0
-0.008504776767388623,-0.009837363094947107,50.0
-0.00854708909841496,-0.009886305208185312,50.0
-0.008589401429937351,-0.009935247322330941,50.0
-0.00863171376192544,-0.009984189437341435,50.0
-0.008674026094348874,-0.010033131553174248,50.0
-0.008716338427177296,-0.010082073669786836,50.0
-0.00875865076038035,-0.010131015787136642,50.0
-0.008800963093927682,-0.010179957905181123,50.0
-0.008843275427788937,-0.010228900023877727,50.0
-0.00888558776193376,-0.010277842143183903,50.0
-0.008927900096331792,-0.010326784263057102,50.0
-0.008970212430952683,-0.010375726383454778,50.0
-0.009012524765766071,-0.01042466850433438,50.0
-0.009054837100741606,-0.010473610625653357,50.0
-0.009097149435848936,-0.010522552747369162,50.0
-0.009139461771057695,-0.010571494869439245,50.0
-0.009181774106337534,-0.010620436991821056,50.0
-0.009224086441658098,-0.010669379114472046,50.0
-0.009266398776989032,-0.01071832123734967,50.0
-0.009308711112299977,-0.01076726336041137,50.0
-0.009351023447560584,-0.010816205483614604,50.0
-0.00939333578274049,-0.010865147606916816,50.0
-0.009435648117809347,-0.010914089730275469,50.0
-0.009477960452736793,-0.010963031853648,50.0
-0.009520272787492477,-0.011011973976991865,50.0
-0.009562585122046042,-0.011060916100264516,50.0
-0.009604897456367136,-0.011109858223423402,50.0
-0.009647209790425396,-0.011158800346425975,50.0
-0.009689522124190475,-0.011207742469229684,50.0
-0.009731834457632012,-0.011256684591791983,50.0
-0.009774146790719656,-0.011305626714070323,50.0
-0.009816459123423047,-0.01135456883602215,50.0
-0.009858771455711832,-0.011403510957604914,50.0
-0.009901083787555658,-0.011452453078776072,50.0
-0.009943396118924164,-0.011501395199493069,50.0
-0.009985708449787,-0.01155033731971336,50.0
-0.010028020780113809,-0.011599279439394395,50.0
-0.010070333109874237,-0.011648221558493621,50.0
-0.010112645439037924,-0.011697163676968495,50.0
-0.010154957767574519,-0.011746105794776461,50.0
-0.010197270095453662,-0.011795047911874969,50.0
-0.010239582422645006,-0.011843990028221481,50.0
-0.010281894749118187,-0.011892932143773436,50.0
-0.010324207074842856,-0.011941874258488291,50.0
-0.010366519399788653,-0.011990816372323495,50.0
-0.010408831723925227,-0.012039758485236496,50.0
-0.010451144047222222,-0.012088700597184752,50.0
-0.010493456369649275,-0.012137642708125703,50.0
-0.010535768691176041,-0.012186584818016809,50.0
-0.010578081011772156,-0.012235526926815512,50.0
-0.010620393331419042,-0.012284469034494523,50.0
-0.010662705650145184,-0.01233341114108752,50.0
-0.010705017967990851,-0.012382353246643463,50.0
-0.0107473302849963,-0.012431295351211272,50.0
-0.01078964260120179,-0.0124802374548399,50.0
-0.010831954916647584,-0.012529179557578287,50.0
-0.010874267231373946,-0.012578121659475368,50.0
-0.010916579545421138,-0.012627063760580093,50.0
-0.010958891858829416,-0.012676005860941397,50.0
-0.011001204171639047,-0.012724947960608222,50.0
-0.011043516483890289,-0.012773890059629507,50.0
-0.011085828795623406,-0.012822832158054196,50.0
-0.011128141106878656,-0.012871774255931225,50.0
-0.011170453417696305,-0.012920716353309544,50.0
-0.01121276572811661,-0.012969658450238085,50.0
-0.011255078038179833,-0.01301860054676579,50.0
-0.011297390347926243,-0.013067542642941606,50.0
-0.011339702657396086,-0.013116484738814467,50.0
-0.011382014966629639,-0.013165426834433318,50.0
-0.011424327275667156,-0.013214368929847103,50.0
-0.011466639584548896,-0.013263311025104751,50.0
-0.011508951893315128,-0.013312253120255217,50.0
-0.011551264202006108,-0.01336119521534743,50.0
-0.011593576510662097,-0.013410137310430337,50.0
-0.01163588881932336,-0.01345907940555288,50.0
-0.011678201128030155,-0.013508021500763998,50.0
-0.011720513436822748,-0.013556963596112633,50.0
-0.011762825745741397,-0.013605905691647721,50.0
-0.01180513805482636,-0.013654847787418208,50.0
-0.011847450364117905,-0.013703789883473035,50.0
-0.01188976267365629,-0.013752731979861139,50.0
-0.011932074983481778,-0.013801674076631465,50.0
-0.01197438729363463,-0.013850616173832953,50.0
-0.012016699604155103,-0.013899558271514538,50.0
-0.012059011915083467,-0.01394850036972517,50.0
-0.01210132422645998,-0.013997442468513786,50.0
-0.012143636538324896,-0.014046384567929324,50.0
-0.012185948850718489,-0.01409532666802073,50.0
-0.012228261163681007,-0.01414426876883694,50.0
-0.012270573477252725,-0.014193210870426902,50.0
-0.012312885791473892,-0.014242152972839543,50.0
-0.012355198106384782,-0.014291095076123823,50.0
-0.012397510422025648,-0.014340037180328669,50.0
-0.012439822738436752,-0.014388979285503027,50.0
-0.012482135055658357,-0.014437921391695833,50.0
-0.012524447373730725,-0.014486863498956035,50.0
-0.012566759692694114,-0.014535805607332567,50.0
-0.01260907201258879,-0.014584747716874378,50.0
-0.01265138433345501,-0.0146336898276304,50.0
-0.01269369665533304,-0.014682631939649578,50.0
-0.01273600897824955,-0.014731574052962068,50.0
-0.012778321302176841,-0.01478051616752284,50.0
-0.012820633627073643,-0.014829458283268098,50.0
-0.012862945952898656,-0.014878400400134032,50.0
-0.012905258279610605,-0.01492734251805683,50.0
-0.01294757060716821,-0.014976284636972695,50.0
-0.012989882935530184,-0.01502522675681781,50.0
-0.013032195264655239,-0.01507416887752837,50.0
-0.013074507594502101,-0.015123110999040571,50.0
-0.013116819925029477,-0.015172053121290599,50.0
-0.01315913225619609,-0.015220995244214655,50.0
-0.013201444587960657,-0.015269937367748928,50.0
-0.013243756920281891,-0.015318879491829607,50.0
-0.01328606925311851,-0.015367821616392895,50.0
-0.013328381586429232,-0.015416763741374974,50.0
-0.01337069392017277,-0.01546570586671204,50.0
-0.013413006254307847,-0.015514647992340294,50.0
-0.013455318588793171,-0.015563590118195915,50.0
-0.013497630923587462,-0.015612532244215098,50.0
-0.013539943258649441,-0.015661474370334046,50.0
-0.013582255593937819,-0.01571041649648894,50.0
-0.013624567929411316,-0.015759358622615984,50.0
-0.013666880265028651,-0.015808300748651364,50.0
-0.013709192600748531,-0.015857242874531274,50.0
-0.013751504936529681,-0.015906185000191905,50.0
-0.013793817272330818,-0.01595512712556945,50.0
-0.013836129608110651,-0.016004069250600106,50.0
-0.013878441943827905,-0.016053011375220062,50.0
-0.013920754279441292,-0.016101953499365506,50.0
-0.013963066614909533,-0.016150895622972648,50.0
-0.014005378950191336,-0.016199837745977656,50.0
-0.014047691285245427,-0.016248779868316746,50.0
-0.014090003620030515,-0.016297721989926094,50.0
-0.014132315954505321,-0.016346664110741902,50.0
-0.014174628288628564,-0.016395606230700358,50.0
-0.014216940622358955,-0.01644454834973766,50.0
-0.01425925295565521,-0.016493490467789987,50.0
-0.014301565288476053,-0.01654243258479355,50.0
-0.014343877620780196,-0.016591374700684537,50.0
-0.014386189952526352,-0.016640316815399132,50.0
-0.014428502283673244,-0.016689258928873532,50.0
-0.01447081461417958,-0.01673820104104393,50.0
-0.014513126944004088,-0.016787143151846526,50.0
-0.014555439273105479,-0.0168360852612175,50.0
-0.014597751601442473,-0.016885027369093055,50.0
-0.014640063928973778,-0.01693396947540938,50.0
-0.014682376255658122,-0.01698291158010267,50.0
-0.014724688581454209,-0.01703185368310911,50.0
-0.014767000906320769,-0.017080795784364902,50.0
-0.014809313230216503,-0.01712973788380623,50.0
-0.014851625553112934,-0.017178679981391963,50.0
-0.014893937875032723,-0.017227622077171593,50.0
-0.01493625019601135,-0.017276564171217323,50.0
-0.014978562516084263,-0.017325506263601312,50.0
-0.015020874835286944,-0.017374448354395756,50.0
-0.015063187153654846,-0.017423390443672818,50.0
-0.01510549947122344,-0.01747233253150468,50.0
-0.015147811788028192,-0.017521274617963517,50.0
-0.015190124104104563,-0.017570216703121515,50.0
-0.015232436419488021,-0.01761915878705084,50.0
-0.01527474873421403,-0.017668100869823677,50.0
-0.01531706104831805,-0.0177170429515122,50.0
-0.015359373361835557,-0.0177659850321886,50.0
-0.015401685674802015,-0.017814927111925036,50.0
-0.015443997987252876,-0.017863869190793698,50.0
-0.01548631029922362,-0.017912811268866756,50.0
-0.015528622610749708,-0.017961753346216396,50.0
-0.015570934921866602,-0.018010695422914787,50.0
-0.015613247232609765,-0.018059637499034113,50.0
-0.015655559543014667,-0.01810857957464655,50.0
-0.01569787185311678,-0.018157521649824274,50.0
-0.015740184162951556,-0.018206463724639462,50.0
-0.015782496472554464,-0.0182554057991643,50.0
-0.015824808781960974,-0.018304347873470954,50.0
-0.015867121091206544,-0.018353289947631607,50.0
-0.015909433400326647,-0.01840223202171844,50.0
-0.01595174570935674,-0.018451174095803626,50.0
-0.0159940580183323,-0.01850011616995935,50.0
-0.01603637032728878,-0.018549058244257777,50.0
-0.01607868263626165,-0.0185980003187711,50.0
-0.01612099494528638,-0.018646942393571484,50.0
-0.016163307254398424,-0.01869588446873111,50.0
-0.016205619563633256,-0.01874482654432216,50.0
-0.01624793187302634,-0.01879376862041681,50.0
-0.01629024418261314,-0.01884271069708724,50.0
-0.016332556492429123,-0.018891652774405618,50.0
-0.016374868802509743,-0.018940594852444127,50.0
-0.016417181112890485,-0.01898953693127495,50.0
-0.016459493423606805,-0.019038479010970263,50.0
-0.01650180573469416,-0.019087421091602243,50.0
-0.016544118046188022,-0.019136363173243062,50.0
-0.01658643035812386,-0.019185305255964902,50.0
-0.016628742670537135,-0.019234247339839944,50.0
-0.016671054983463315,-0.019283189424940356,50.0
-0.016713367296937863,-0.019332131511338335,50.0
-0.01675567961099624,-0.019381073599106034,50.0
-0.016797991925673918,-0.01943001568831565,50.0
-0.016840304241006358,-0.01947895777903935,50.0
-0.01688261655702903,-0.01952789987134932,50.0
-0.016924928873777393,-0.019576841965317726,50.0
-0.016967241191279146,-0.01962578406099705,50.0
-0.017009553509530883,-0.019674726158360897,50.0
-0.017051865828521442,-0.01972366825736319,50.0
-0.017094178148239644,-0.019772610357957833,50.0
-0.01713649046867433,-0.01982155246009874,50.0
-0.01717880278981432,-0.019870494563739814,50.0
-0.017221115111648446,-0.019919436668834972,50.0
-0.01726342743416554,-0.019968378775338122,50.0
-0.017305739757354433,-0.02001732088320318,50.0
-0.01734805208120395,-0.020066262992384048,50.0
-0.01739036440570292,-0.020115205102834637,50.0
-0.017432676730840167,-0.020164147214508855,50.0
-0.017474989056604533,-0.020213089327360625,50.0
-0.017517301382984855,-0.02026203144134385,50.0
-0.017559613709969935,-0.020310973556412433,50.0
-0.017601926037548624,-0.020359915672520285,50.0
-0.01764423836570974,-0.020408857789621326,50.0
-0.017686550694442124,-0.020457799907669466,50.0
-0.017728863023734602,-0.020506742026618605,50.0
-0.01777117535357599,-0.020555684146422663,50.0
-0.01781348768395514,-0.020604626267035544,50.0
-0.017855800014860868,-0.020653568388411165,50.0
-0.017898112346282004,-0.02070251051050342,50.0
-0.01794042467820738,-0.020751452633266238,50.0
-0.01798273701062582,-0.02080039475665352,50.0
-0.018025049343526164,-0.02084933688061918,50.0
-0.018067361676897233,-0.020898279005117128,50.0
-0.018109674010727866,-0.02094722113010127,50.0
-0.018151986345006876,-0.020996163255525516,50.0
-0.018194298679723112,-0.021045105381343788,50.0
-0.018236611014865393,-0.02109404750750998,50.0
-0.018278923350422544,-0.021142989633978006,50.0
-0.018321235686383403,-0.021191931760701783,50.0
-0.0183635480227368,-0.021240873887635223,50.0
-0.018405860359471567,-0.021289816014732222,50.0
-0.018448172696576517,-0.021338758141946707,50.0
-0.018490485034040497,-0.021387700269232573,50.0
-0.01853279737185233,-0.021436642396543748,50.0
-0.018575109710000846,-0.021485584523834124,50.0
-0.01861742204847487,-0.02153452665105762,50.0
-0.018659734387263243,-0.021583468778168146,50.0
-0.018702046726354782,-0.021632410905119602,50.0
-0.018744359065738327,-0.021681353031865924,50.0
-0.0187866714054027,-0.021730295158360995,50.0
-0.018828983745336737,-0.021779237284558745,50.0
-0.01887129608552926,-0.021828179410413068,50.0
-0.01891360842596911,-0.021877121535877883,50.0
-0.018955920766645096,-0.0219260636609071,50.0
-0.018998233107546073,-0.021975005785454627,50.0
-0.01904054544866085,-0.02202394790947437,50.0
-0.01908285778997422,-0.02207289003293173,50.0
-0.019125170131454733,-0.02212183215583799,50.0
-0.01916748247306691,-0.02217077427821593,50.0
-0.019209794814775263,-0.02221971640008832,50.0
-0.019252107156544313,-0.022268658521477948,50.0
-0.01929441949833856,-0.02231760064240758,50.0
-0.01933673184012253,-0.02236654276289999,50.0
-0.019379044181860726,-0.022415484882977947,50.0
-0.019421356523517664,-0.022464427002664236,50.0
-0.01946366886505786,-0.022513369121981625,50.0
-0.019505981206445817,-0.022562311240952888,50.0
-0.019548293547646062,-0.0226112533596008,50.0
-0.019590605888623096,-0.02266019547794814,50.0
-0.01963291822934144,-0.02270913759601768,50.0
-0.0196752305697656,-0.02275807971383219,50.0
-0.019717542909860098,-0.022807021831414444,50.0
-0.019759855249589443,-0.022855963948787233,50.0
-0.019802167588918142,-0.02290490606597331,50.0
-0.019844479927810722,-0.022953848182995458,50.0
-0.019886792266231683,-0.023002790299876456,50.0
-0.019929104604145535,-0.02305173241663907,50.0
-0.019971416941516804,-0.023100674533306085,50.0
-0.020013729278309998,-0.02314961664990026,50.0
-0.020056041614489633,-0.023198558766444388,50.0
-0.020098353950020215,-0.023247500882961233,50.0
-0.020140666284866268,-0.02329644299947357,50.0
-0.02018297861899229,-0.023345385116004175,50.0
-0.020225290952362796,-0.023394327232575812,50.0
-0.02026760328494231,-0.023443269349211274,50.0
-0.020309915616695342,-0.02349221146593333,50.0
-0.0203522279475864,-0.023541153582764738,50.0
-0.02039454027758,-0.023590095699728295,50.0
-0.020436852606640656,-0.023639037816846762,50.0
-0.020479164934732882,-0.02368797993414292,50.0
-0.020521477261821186,-0.023736922051639547,50.0
-0.020563789587870085,-0.023785864169359402,50.0
-0.02060610191284409,-0.023834806287325275,50.0
-0.020648414236707716,-0.02388374840555993,50.0
-0.02069072655942547,-0.023932690524086142,50.0
-0.020733038880961875,-0.023981632642926697,50.0
-0.020775351201281437,-0.024030574762104347,50.0
-0.020817663520348674,-0.0240795168816419,50.0
-0.020859975838128094,-0.024128459001562103,50.0
-0.02090228815458421,-0.02417740112188774,50.0
