pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
1.5514176,0.2609162,-1.4202145,-0.99217683,-1.4175793,-0.84813625,-0.03773937,1.4615821,-6.5923977,-0.22400469,0.39593577,-2.6188014,0.04565063,-1.4536616,7.3856688,0.13787876,1.8705312,1.6235386,0.13554968,1.8706466,1.623857
1.5364252,0.24649723,-1.4368091,-1.007142,-1.4328187,-0.8590944,-0.05427461,1.4465673,-6.311478,-0.2390522,0.41433308,-2.5899622,0.03225583,-1.4685768,7.0645757,0.12058403,1.8554893,1.6086845,0.11824078,1.8555936,1.608978
1.5473138,0.25795949,-1.4258928,-0.99622566,-1.4222119,-0.8442858,-0.044941764,1.4574383,-6.015302,-0.22767238,0.45828456,-2.535586,0.04475545,-1.4576154,6.780354,0.1291564,1.8663175,1.619687,0.12679502,1.8664092,1.6199495
1.5475662,0.25878635,-1.425612,-0.99594486,-1.4222754,-0.84011257,-0.046257965,1.4576781,-5.7384634,-0.22642803,0.4912921,-2.4922023,0.04663335,-1.4572934,6.494495,0.12707524,1.8664978,1.620023,0.12470556,1.8665811,1.6202704
1.5439365,0.2557319,-1.4292125,-0.9995454,-1.426255,-0.83993506,-0.051468592,1.4540402,-5.4736795,-0.228592,0.5200868,-2.4530678,0.044643052,-1.4608563,6.2132087,0.12110447,1.8627883,1.6164626,0.11874061,1.8628684,1.6167171
1.5507892,0.2631605,-1.4223299,-0.9926628,-1.4197859,-0.82938904,-0.0462074,1.4608885,-5.207704,-0.21982272,0.5589594,-2.4038367,0.053147092,-1.4539394,5.9520154,0.1256226,1.8695587,1.6233922,0.12327183,1.8696384,1.623663
1.558188,0.27113566,-1.4149007,-0.9852336,-1.4128039,-0.81829643,-0.04040859,1.4682863,-4.951924,-0.21006848,0.59788287,-2.3544624,0.062206656,-1.4464788,5.702478,0.1307004,1.8768755,1.6308848,0.12836283,1.8769544,1.6311706
1.5500028,0.2635277,-1.4230546,-0.9933876,-1.4214385,-0.8227869,-0.05019985,1.4601036,-4.7234325,-0.21547428,0.6206518,-2.321089,0.05569007,-1.4546037,5.4494653,0.120208286,1.8686084,1.6228094,0.11787958,1.8686846,1.6231006
1.5526692,0.26677176,-1.4203564,-0.99068946,-1.4192536,-0.8165399,-0.04914474,1.4627751,-4.495849,-0.20962402,0.653655,-2.2772925,0.060031246,-1.4518788,5.2194686,0.1205771,1.8711907,1.6255915,0.118252225,1.8712622,1.6258795
1.5526731,0.2673543,-1.4203198,-0.99065286,-1.4197624,-0.8130688,-0.050756264,1.4627868,-4.2819705,-0.20605113,0.68336034,-2.2365932,0.061715964,-1.4518173,4.9982314,0.1182882,1.8711066,1.6257088,0.11596472,1.8711724,1.6259898
1.5447128,0.25997335,-1.4282467,-0.99857986,-1.4282662,-0.81756127,-0.060336113,1.4548368,-4.0861716,-0.21008103,0.7044604,-2.204299,0.055441972,-1.4597208,4.7794943,0.10803716,1.8630533,1.6178554,0.10571811,1.8631146,1.6181332
1.5560354,0.27187583,-1.4168901,-0.98722327,-1.4175171,-0.8028847,-0.050636716,1.4661715,-3.8807073,-0.1944864,0.7441868,-2.1531687,0.06845576,-1.4483423,4.5899873,0.11707408,1.874279,1.6292825,0.11476246,1.8743372,1.6295618
1.5486004,0.26502153,-1.4259199,-0.9946235,-1.425555,-0.80696493,-0.059697617,1.4587506,-3.7034175,-0.19732153,0.7644752,-2.1212475,0.062716246,-1.455722,4.3914647,0.10736163,1.8667448,1.6219542,0.10506002,1.8668004,1.622239
1.5439878,0.26099005,-1.4304972,-0.9992008,-1.4307991,-0.8083368,-0.06593822,1.4541538,-3.5327644,-0.19702123,0.7868761,-2.0869622,0.05980216,-1.4602796,4.2055473,0.10048205,1.862031,1.6174543,0.098191425,1.8620847,1.6177446
1.5487815,0.26636592,-1.4256673,-0.99437094,-1.4266647,-0.8003014,-0.06277324,1.4589648,-3.3621619,-0.18701449,0.81794655,-2.0437331,0.06629704,-1.4554307,4.0388193,0.10302073,1.8667225,1.622367,0.1007398,1.8667735,1.6226599
1.5514164,0.2695835,-1.4229956,-0.9916993,-1.4247162,-0.7945387,-0.06176756,1.4616184,-3.2029037,-0.17888124,0.84610397,-2.0031295,0.070634715,-1.4527408,3.879434,0.103410855,1.8692532,1.6251243,0.10113909,1.8693014,1.6254199
1.5476705,0.26642102,-1.4267039,-0.9954076,-1.4291749,-0.79515594,-0.067142405,1.4578925,-3.0588045,-0.17685488,0.86711586,-1.9693748,0.06859293,-1.4564315,3.7227478,0.09743014,1.8654009,1.6215042,0.095166534,1.8654461,1.6217992
1.5524096,0.2717443,-1.4219265,-0.99063015,-1.4251738,-0.78740203,-0.064031675,1.4626528,-2.9144754,-0.16608451,0.8958438,-1.9276046,0.07503709,-1.4516369,3.583086,0.09994335,1.8700314,1.6263694,0.09768808,1.8700733,1.6266644
1.5499213,0.26984075,-1.4243759,-0.9930797,-1.428425,-0.7869894,-0.068147734,1.4601865,-2.785154,-0.16229689,0.9165722,-1.8935324,0.07425423,-1.4540694,3.4442437,0.09523799,1.8674319,1.6240076,0.092991896,1.8674711,1.6243032
1.5431405,0.26364562,-1.4311169,-0.9998207,-1.4359924,-0.79075384,-0.076554835,1.4534287,-2.6675155,-0.16256687,0.932232,-1.864223,0.06917935,-1.4607936,3.3087544,0.086250275,1.8605379,1.6173549,0.0840141,1.8605748,1.6176531
1.5471727,0.2682639,-1.4270445,-0.9957483,-1.4327699,-0.7839339,-0.0741476,1.4574848,-2.5461764,-0.15180157,0.9579227,-1.824572,0.07491703,-1.4567047,3.1914346,0.08808594,1.8644552,1.6215183,0.085859515,1.8644896,1.6218187
1.5455868,0.267265,-1.4285892,-0.99729306,-1.4351876,-0.7826166,-0.0773564,1.4559236,-2.437247,-0.14644353,0.9772112,-1.7910097,0.075036235,-1.458233,3.0755203,0.084314086,1.8627528,1.6200666,0.08209834,1.862785,1.6203693
1.5524421,0.27470785,-1.4216923,-0.990396,-1.4291855,-0.772972,-0.07212176,1.4628042,-2.3264487,-0.13244438,1.004152,-1.7494771,0.08359566,-1.4513193,2.974847,0.08899474,1.8694899,1.6270589,0.08678888,1.86952,1.6273637
1.5487926,0.27164662,-1.4252993,-0.9940032,-1.4337088,-0.773946,-0.077389374,1.4591808,-2.2323604,-0.12875843,1.0198001,-1.7189182,0.08164914,-1.4549099,2.8700862,0.08318118,1.8657209,1.6235493,0.08098491,1.8657484,1.6238546
1.5539243,0.27736747,-1.4201243,-0.9888282,-1.4294703,-0.7661379,-0.073872834,1.4643391,-2.1353269,-0.1161107,1.0434445,-1.6800456,0.08848262,-1.4497184,2.7801442,0.0861593,1.8707314,1.6288223,0.08397241,1.8707565,1.6291287
