pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
0.020736702,0.016255844,0.8485672,-3.1413884,-0.0018562095,-1.5717504,-0.0007607807,0.015925037,-3.8047472e-06,-4.3715132e-05,0.00018158341,-0.002076727,1.5224352e-06,-3.1850013e-05,7.60906e-09,0.004422614,1.7037269,52.524384,0.0022042864,1.703654,52.525166
0.020735178,0.016287694,0.8485671,-3.1413887,-0.0018565719,-1.5717462,-0.00077947136,0.01592447,-3.60198e-06,-4.373588e-05,0.00020491403,-0.0020421646,1.5598165e-06,-3.184888e-05,7.2034796e-09,0.0022042864,1.703654,52.525166,-2.7558035e-05,1.7035708,52.525772
0.02073362,0.016319543,0.8485671,-3.1413887,-0.0018569808,-1.5717422,-0.0007983188,0.015923956,-3.4064944e-06,-4.3619297e-05,0.00022801591,-0.0020078737,1.5975114e-06,-3.184785e-05,6.81246e-09,-2.7558035e-05,1.7035708,52.525772,-0.0022766583,1.7034756,52.52616
0.020732021,0.01635139,0.8485671,-3.1413887,-0.001857436,-1.5717381,-0.00081732887,0.015923489,-3.2169714e-06,-4.3376996e-05,0.00025090203,-0.0019738644,1.6355316e-06,-3.1846914e-05,6.4333614e-09,-0.0022766583,1.7034756,52.52616,-0.004533655,1.7033725,52.526443
0.020730386,0.016383238,0.8485671,-3.141389,-0.0018579371,-1.5717342,-0.000836495,0.015923062,-3.03305e-06,-4.301575e-05,0.00027355633,-0.0019401455,1.6738638e-06,-3.184606e-05,6.0654637e-09,-0.004533655,1.7033725,52.526443,-0.006785126,1.7032663,52.526775
0.020728713,0.016415084,0.8485671,-3.141389,-0.0018584834,-1.5717304,-0.00085579517,0.015922673,-2.8554962e-06,-4.2541295e-05,0.00029592725,-0.0019067317,1.7124642e-06,-3.1845277e-05,5.710298e-09,-0.006785126,1.7032663,52.526775,-0.009024122,1.7031598,52.52722
0.020727,0.01644693,0.8485671,-3.141389,-0.0018590745,-1.5717266,-0.0008752019,0.015922315,-2.6853033e-06,-4.1956595e-05,0.00031795155,-0.0018736359,1.7512776e-06,-3.1844564e-05,5.369851e-09,-0.009024122,1.7031598,52.52722,-0.011250532,1.7030526,52.527775
0.020725248,0.016478773,0.8485671,-3.1413891,-0.0018597096,-1.5717227,-0.0008946915,0.015921988,-2.5231325e-06,-4.1265503e-05,0.0003395762,-0.0018408699,1.7902569e-06,-3.18439e-05,5.045444e-09,-0.011250532,1.7030526,52.527775,-0.013468529,1.702943,52.528366
0.020723458,0.016510617,0.8485671,-3.1413891,-0.001860388,-1.571719,-0.00091424887,0.015921684,-2.3690206e-06,-4.0472813e-05,0.00036076887,-0.0018084423,1.8293716e-06,-3.1843294e-05,4.737153e-09,-0.013468529,1.702943,52.528366,-0.015682865,1.7028288,52.528934
0.02072163,0.01654246,0.8485671,-3.1413891,-0.0018611088,-1.5717155,-0.00093386683,0.0159214,-2.222477e-06,-3.9583512e-05,0.00038151653,-0.0017763585,1.8686076e-06,-3.1842726e-05,4.443994e-09,-0.015682865,1.7028288,52.528934,-0.017895874,1.7027092,52.529453
0.020719761,0.016574305,0.8485671,-3.1413894,-0.0018618711,-1.5717119,-0.000953542,0.015921138,-2.0828654e-06,-3.8603495e-05,0.00040181543,-0.001744623,1.907958e-06,-3.1842195e-05,4.164697e-09,-0.017895874,1.7027092,52.529453,-0.020104667,1.7025853,52.52995
0.020717852,0.016606146,0.8485671,-3.1413894,-0.001862674,-1.5717084,-0.00097326795,0.015920889,-1.949845e-06,-3.7537724e-05,0.00042165475,-0.0017132405,1.94741e-06,-3.1841697e-05,3.8985792e-09,-0.020104667,1.7025853,52.52995,-0.022306383,1.7024585,52.530457
0.020715905,0.016637988,0.84856707,-3.1413894,-0.0018635166,-1.571705,-0.0009930355,0.015920654,-1.8232789e-06,-3.6389712e-05,0.0004410177,-0.0016822151,1.986945e-06,-3.1841228e-05,3.6453665e-09,-0.022306383,1.7024585,52.530457,-0.024498574,1.7023293,52.531002
0.020713918,0.016669828,0.84856707,-3.1413894,-0.001864398,-1.5717016,-0.0010128337,0.015920432,-1.7031948e-06,-3.5163088e-05,0.00045988386,-0.0016515516,2.0265416e-06,-3.184078e-05,3.4051144e-09,-0.024498574,1.7023293,52.531002,-0.026680296,1.7021983,52.531586
0.020711891,0.01670167,0.84856707,-3.1413896,-0.0018653171,-1.5716983,-0.001032652,0.015920218,-1.5895924e-06,-3.3861237e-05,0.00047823408,-0.0016212538,2.066178e-06,-3.1840347e-05,3.1778224e-09,-0.026680296,1.7021983,52.531586,-0.028852794,1.7020648,52.53219
0.020709826,0.01673351,0.84856707,-3.1413896,-0.0018662729,-1.5716951,-0.0010524826,0.015920011,-1.4822851e-06,-3.248777e-05,0.0004960566,-0.0015913246,2.1058395e-06,-3.1839932e-05,2.9631182e-09,-0.028852794,1.7020648,52.53219,-0.031016568,1.7019286,52.53281
0.020707719,0.01676535,0.84856707,-3.1413896,-0.0018672644,-1.5716919,-0.0010723197,0.015919812,-1.3809939e-06,-3.1045623e-05,0.00051334366,-0.0015617653,2.1455137e-06,-3.1839532e-05,2.7604419e-09,-0.031016568,1.7019286,52.53281,-0.03317256,1.7017895,52.53343
0.020705573,0.016797189,0.84856707,-3.1413896,-0.0018682904,-1.5716888,-0.001092159,0.015919616,-1.2853604e-06,-2.9538534e-05,0.0005300925,-0.0015325771,2.1851924e-06,-3.183914e-05,2.5690787e-09,-0.03317256,1.7017895,52.53343,-0.03532062,1.7016474,52.534046
0.020703388,0.016829029,0.84856707,-3.1413898,-0.00186935,-1.5716858,-0.0011119968,0.015919425,-1.1950591e-06,-2.7970047e-05,0.000546301,-0.0015037607,2.2248682e-06,-3.1838754e-05,2.3883755e-09,-0.03532062,1.7016474,52.534046,-0.037459955,1.7015027,52.534668
0.020701164,0.016860867,0.84856707,-3.1413898,-0.001870442,-1.5716827,-0.0011318289,0.015919235,-1.1098228e-06,-2.6342734e-05,0.00056196615,-0.0014753161,2.2645324e-06,-3.183837e-05,2.2178008e-09,-0.037459955,1.7015027,52.534668,-0.039589833,1.7013558,52.53531
0.0206989,0.016892705,0.84856707,-3.1413898,-0.0018715652,-1.5716798,-0.0011516504,0.015919048,-1.0294613e-06,-2.4659632e-05,0.000577084,-0.0014472437,2.3041755e-06,-3.1837997e-05,2.0569713e-09,-0.039589833,1.7013558,52.53531,-0.041710436,1.7012066,52.535965
0.020696595,0.016924543,0.84856707,-3.1413898,-0.0018727189,-1.5716769,-0.0011714575,0.01591886,-9.537541e-07,-2.2923718e-05,0.00059165293,-0.0014195434,2.3437894e-06,-3.1837622e-05,1.905447e-09,-0.041710436,1.7012066,52.535965,-0.043820854,1.7010553,52.536636
0.020694252,0.016956381,0.84856707,-3.1413898,-0.0018739016,-1.571674,-0.0011912453,0.015918674,-8.825515e-07,-2.1137688e-05,0.0006056698,-0.0013922151,2.3833654e-06,-3.1837244e-05,1.76293e-09,-0.043820854,1.7010553,52.536636,-0.045921873,1.700902,52.537323
0.020691868,0.016988218,0.84856707,-3.14139,-0.0018751124,-1.5716712,-0.0012110111,0.015918488,-8.156017e-07,-1.930366e-05,0.00061913504,-0.0013652574,2.422897e-06,-3.183687e-05,1.6289139e-09,-0.045921873,1.700902,52.537323,-0.048013765,1.7007462,52.538013
0.020689445,0.017020056,0.84856707,-3.14139,-0.0018763501,-1.5716685,-0.0012307522,0.015918298,-7.5265206e-07,-1.7424432e-05,0.0006320509,-0.0013386692,2.4623794e-06,-3.183649e-05,1.5028963e-09,-0.048013765,1.7007462,52.538013,-0.05009671,1.7005882,52.53871
0.020686982,0.017051892,0.84856707,-3.14139,-0.0018776136,-1.5716659,-0.0012504668,0.015918108,-6.934576e-07,-1.5502721e-05,0.00064442086,-0.0013124492,2.5018087e-06,-3.183611e-05,1.3843852e-09,-0.05009671,1.7005882,52.53871,-0.052170936,1.7004278,52.53941
0.02068448,0.017083729,0.84856707,-3.14139,-0.001878902,-1.5716633,-0.0012701532,0.015917916,-6.3776343e-07,-1.3541181e-05,0.0006562494,-0.0012865956,2.5411816e-06,-3.1835723e-05,1.2728714e-09,-0.052170936,1.7004278,52.53941,-0.054235592,1.7002654,52.540123
0.02068194,0.017115563,0.84856707,-3.14139,-0.001880214,-1.5716606,-0.0012898091,0.015917722,-5.853951e-07,-1.1541508e-05,0.0006675387,-0.0012611061,2.5804936e-06,-3.1835334e-05,1.1680064e-09,-0.054235592,1.7002654,52.540123,-0.056290895,1.7001011,52.540844
0.020679358,0.0171474,0.84856707,-3.14139,-0.0018815486,-1.5716581,-0.0013094324,0.015917527,-5.3617316e-07,-9.506093e-06,0.0006782925,-0.0012359793,2.6197404e-06,-3.1834938e-05,1.0694307e-09,-0.056290895,1.7001011,52.540844,-0.058336943,1.6999347,52.541573
0.02067674,0.017179234,0.84856707,-3.14139,-0.0018829046,-1.5716556,-0.0013290216,0.015917327,-4.899211e-07,-7.437259e-06,0.00068851496,-0.0012112127,2.6589187e-06,-3.1834537e-05,9.767918e-10,-0.058336943,1.6999347,52.541573,-0.060373843,1.6997663,52.54231
0.020674082,0.017211068,0.84856707,-3.14139,-0.0018842812,-1.5716532,-0.001348575,0.015917124,-4.4646058e-07,-5.337253e-06,0.0006982111,-0.0011868044,2.6980258e-06,-3.1834134e-05,8.897332e-10,-0.060373843,1.6997663,52.54231,-0.06240182,1.699596,52.543053
0.020671383,0.017242903,0.84856707,-3.14139,-0.0018856771,-1.5716509,-0.0013680918,0.015916921,-4.0559615e-07,-3.2076146e-06,0.0007073866,-0.0011627512,2.7370593e-06,-3.183372e-05,8.078631e-10,-0.06240182,1.699596,52.543053,-0.06442153,1.6994234,52.543793
0.020668646,0.017274737,0.84856707,-3.14139,-0.0018870914,-1.5716485,-0.0013875716,0.015916713,-3.6711037e-07,-1.050649e-06,0.00071604934,-0.0011390507,2.776019e-06,-3.1833304e-05,7.307476e-10,-0.06442153,1.6994234,52.543793,-0.06643196,1.699249,52.544544
0.02066587,0.01730657,0.84856707,-3.14139,-0.001888523,-1.5716462,-0.0014070129,0.015916502,-3.3089302e-07,1.131652e-06,0.000724204,-0.0011157003,2.8149018e-06,-3.1832882e-05,6.581654e-10,-0.06643196,1.699249,52.544544,-0.06843371,1.6990726,52.5453
0.020663055,0.017338403,0.84856707,-3.14139,-0.001889971,-1.5716441,-0.001426415,0.01591629,-2.9679347e-07,3.3372562e-06,0.0007318572,-0.0010926974,2.8537063e-06,-3.1832453e-05,5.8981553e-10,-0.06843371,1.6990726,52.5453,-0.07042677,1.6988944,52.546062
