pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
1.4762264,0.354645,-1.0706111,-1.0581319,-0.6938225,-0.6574779,-0.2868147,1.4934196,-1.9618968,-2.743214,4.6642294,-0.099703476,0.28015235,-1.5000612,2.3946939,-0.28438038,1.4780957,-3.0412636,-0.28495973,1.4779979,-3.036415
1.4701548,0.3494338,-1.0765291,-1.0640504,-0.7049731,-0.6632858,-0.29352233,1.4871323,-1.9609503,-2.7316692,4.6561136,-0.102360606,0.27502376,-1.5056098,2.3817072,-0.2908494,1.4720906,-3.0408878,-0.2914339,1.471991,-3.0360124
1.4723439,0.35248363,-1.0741861,-1.061708,-0.70786005,-0.66072226,-0.2919693,1.489106,-1.9529594,-2.7113206,4.6552343,-0.096792124,0.27815688,-1.5028973,2.378209,-0.28906235,1.4743446,-3.032226,-0.28965053,1.4742446,-3.0271037
1.4756933,0.35669416,-1.0706822,-1.0582045,-0.7095824,-0.65710807,-0.28925633,1.4922404,-1.9450034,-2.6892993,4.6545286,-0.09009581,0.28245187,-1.499024,2.3770795,-0.2861181,1.4777591,-3.0221593,-0.2867081,1.4776601,-3.0165696
1.4825798,0.36444193,-1.0689771,-1.0511637,-0.7077624,-0.6499564,-0.28300714,1.4989125,-1.9348396,-2.6632574,4.6564,-0.07989324,0.29028553,-1.4916129,2.3808281,-0.27963817,1.4847121,-3.0080905,-0.2802305,1.484614,-3.0020456
1.4758004,0.35852408,-1.0756011,-1.0577883,-0.719602,-0.6564702,-0.29042482,1.4919186,-1.9397424,-2.650424,4.643676,-0.083385356,0.28445518,-1.4978671,2.3723266,-0.286826,1.4780006,-3.007235,-0.2874215,1.4779031,-3.000857
1.4761559,0.3597412,-1.0750899,-1.0572776,-0.72429943,-0.65573853,-0.29070908,1.4920596,-1.9388521,-2.630023,4.6371865,-0.07976868,0.2857617,-1.4969857,2.3723135,-0.28688186,1.4784249,-2.9989147,-0.28748176,1.4783263,-2.992338
1.4810258,0.3654732,-1.0700637,-1.0522518,-0.72447383,-0.6506021,-0.28648034,1.4967152,-1.9346741,-2.6047018,4.634343,-0.07166186,0.29158533,-1.4915888,2.3780549,-0.2824271,1.4833632,-2.9858832,-0.283032,1.4832633,-2.979181
1.4827167,0.36802635,-1.0682162,-1.0504049,-0.72781795,-0.6486444,-0.28543273,1.4981914,-1.9347341,-2.5821784,4.627483,-0.06675626,0.29423276,-1.4893701,2.381686,-0.281156,1.4851214,-2.9759085,-0.28176597,1.4850208,-2.9690688
1.4817141,0.36788654,-1.0690615,-1.0512507,-0.7338447,-0.6493793,-0.28708065,1.4969743,-1.9383787,-2.5619876,4.6171227,-0.064563,0.2941902,-1.4898435,2.383524,-0.28258273,1.484186,-2.968492,-0.28319746,1.4840842,-2.9614656
1.4769933,0.3640285,-1.0736247,-1.0558145,-0.7435788,-0.65383244,-0.29244965,1.4920386,-1.9465647,-2.5451791,4.6022635,-0.06610625,0.2904326,-1.4940342,2.3824744,-0.28773224,1.4795316,-2.9646106,-0.2883513,1.47943,-2.957348
1.4726571,0.36055544,-1.0778029,-1.059993,-0.7529158,-0.6579003,-0.2974367,1.4874874,-1.9551213,-2.5276673,4.5870333,-0.067280345,0.28706342,-1.4978392,2.3825727,-0.29250094,1.4752624,-2.9601114,-0.29312432,1.4751596,-2.952601
1.465848,0.35460982,-1.0844535,-1.0666442,-0.76471263,-0.6644406,-0.30489954,1.4804628,-1.966881,-2.5123322,4.5685983,-0.07094212,0.2812252,-1.5041159,2.3809354,-0.29974633,1.4685197,-2.9578404,-0.30037424,1.468417,-2.9501066
1.4731898,0.36281502,-1.0769528,-1.059144,-0.7623449,-0.6568298,-0.2982149,1.487589,-1.9651388,-2.4825659,4.5636053,-0.06046576,0.28954163,-1.4962407,2.3941038,-0.29284522,1.4759283,-2.941198,-0.293478,1.4758248,-2.9332895
1.4786026,0.36909187,-1.0713806,-1.0535723,-0.76189107,-0.65125746,-0.29346222,1.4927857,-1.9658875,-2.4544659,4.555998,-0.05192915,0.29593357,-1.4902931,2.405911,-0.2878772,1.4814076,-2.9263132,-0.28851527,1.4813027,-2.918254
1.4876214,0.37897485,-1.062202,-1.0443943,-0.7578158,-0.6419686,-0.2851071,1.5015882,-1.9635099,-2.4225173,4.551333,-0.03979701,0.30593574,-1.4807383,2.421808,-0.27930814,1.490492,-2.9076753,-0.2799514,1.4903864,-2.8994777
1.470493,0.36271062,-1.0791702,-1.061363,-0.7798717,-0.6588267,-0.3029031,1.484243,-1.9876466,-2.4164877,4.5198803,-0.0538205,0.289795,-1.4973296,2.4119287,-0.29689124,1.4734287,-2.9150498,-0.29753977,1.4733222,-2.9067018
1.480495,0.3735775,-1.0690073,-1.0512004,-0.77477974,-0.6485535,-0.29357195,1.4940281,-1.9849409,-2.3831136,4.514938,-0.04072012,0.30078977,-1.4867887,2.429471,-0.28734833,1.4834957,-2.8951464,-0.28800198,1.4833878,-2.8866477
1.4799627,0.37391016,-1.0693784,-1.0515721,-0.78020453,-0.6489246,-0.29477918,1.4932785,-1.9930136,-2.3600786,4.4988613,-0.038160924,0.3012548,-1.4867814,2.4367251,-0.2883446,1.4830273,-2.8856306,-0.28900337,1.4829189,-2.8769689
